sample,feature_id,abundance
FW_TWAS_AS_rep_1,ASV_ba4ace83ab5b1e9111e02978e29d8d4d0d227006,0.09884596086302057
FW_TWAS_AS_rep_1,ASV_99fa2e53f0f36f723e9c822e65b149eca071a9b6,0.057231560461615656
FW_TWAS_AS_rep_1,ASV_a1b290bc6493a44d9c20093f3bed98cd03b6fc53,0.03095208228800803
FW_TWAS_AS_rep_1,ASV_b5259cf9333b28d9b4a9cf69802009032231f59c,0.024366532865027598
FW_TWAS_AS_rep_1,ASV_10ddce4c8dd94d5e047159e739cf71883544f000,0.02217134972403412
FW_TWAS_AS_rep_1,ASV_fd680ce4a3e26b77c38dbe4bff95f3207564a1d9,0.021293276467636728
FW_TWAS_AS_rep_1,ASV_c890b4a363c22ce6aba6adab8546c51d768b41c3,0.019066733567486203
FW_TWAS_AS_rep_1,ASV_fb4cee6bb46472ce766402b91fa2258ba003a4ec,0.01825137982940291
FW_TWAS_AS_rep_1,ASV_44c8484481a00fd6ca6d80da73d71fe29810d91b,0.016871550426492726
FW_TWAS_AS_rep_1,ASV_515e1ef7ddf9e303b5139961e91b3b1099512289,0.016652032112393376
FW_TWAS_AS_rep_1,ASV_9e668dc359b5cc60b61dea06bf4d53ac967a3946,0.01662067235323633
FW_TWAS_AS_rep_1,ASV_d697e52ad2744602560297755934f30180af1754,0.014080531861515304
FW_TWAS_AS_rep_1,ASV_253093fb492f6012d4fb04c3f88b1264d4b93c54,0.01348469643753136
FW_TWAS_AS_rep_1,ASV_f3dc7c1069913fa5864fe975fa8af5bd98f89099,0.01248118414450577
FW_TWAS_AS_rep_1,ASV_00f4321b2c8c4ae5cc11f91f528f1fd3089a3ae0,0.01163447064726543
FW_TWAS_AS_rep_1,ASV_3df6d89481a9488de8f36f2ff4f634e0c5262fd3,0.011101354741595584
FW_TWAS_AS_rep_1,ASV_21e741955fe55b8bbb1271452b75a4ee1fa1f935,0.011038635223281485
FW_TWAS_AS_rep_1,ASV_ecf70fd3187c86a233f64f5c9dec5d1bb4acee36,0.010160561966884094
FW_TWAS_AS_rep_1,ASV_5693674871d0fd53ab726528df017427f96797fa,0.009219769192172603
FW_TWAS_AS_rep_1,ASV_13b5cc158e804e39782942ac82d4cfaca887cf9a,0.009000250878073256
FW_TWAS_AS_rep_1,ASV_f679ebb6e9c4d53999a91414d6dbad6b6a298818,0.008843452082288008
