sample,group,value
FW_AS_rep_2,X_ch,0.10126755141518891
FW_AS_rep_2,X_pr,0.07041396324960697
FW_AS_rep_2,X_li,0.0448312462751414
FW_AS_rep_2,X_su,0.06822295078692263
FW_AS_rep_2,X_aa,0.08862407896199995
FW_AS_rep_2,X_fa,0.0715941743963762
FW_AS_rep_2,X_ac_et,0.07665942514872023
FW_AS_rep_2,X_ac_lac,0.07114385595185324
FW_AS_rep_2,X_chain_et,0.06701936172398633
FW_AS_rep_2,X_chain_lac,0.06140443002933361
FW_AS_rep_2,X_VFA_deg,0.09897863535055261
FW_AS_rep_2,X_Me_ac,0.027966973830427996
FW_AS_rep_2,X_Me_CO2,0.007555538496979704
FW_AS_rep_2,X_et,0.07961536160507617
FW_AS_rep_2,X_lac,0.06470245277783411
